"Views","Show View ()","⌥⌘Q D","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Edit","Content Assist","⌘Space","In Dialogs and Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Text End","↘","Editing Text"
"Terminal Commands","Open Terminal","⇧⌃⌥T","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Edit","Find and Replace","Esc R","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
